folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	IMG_20170527_144158	Enter description here	36.5763111111111	-105.439516666667	https://c1.staticflickr.com/5/4200/34829291412_211cb6d370_n.jpg	https://www.flickr.com/photos/30474783@N06/34829291412/in/album-72157681380135454	2017:05:27 14:42:00	https://c1.staticflickr.com/5/4200/34829291412_211cb6d370_n.jpg			pink
Folder1	IMG_20170527_145838	Enter description here	36.5658397222222	-105.431899722222	https://c1.staticflickr.com/5/4201/34829304332_8b7d8872db_n.jpg	https://www.flickr.com/photos/30474783@N06/34829304332/in/album-72157681380135454	2017:05:27 14:58:39	https://c1.staticflickr.com/5/4201/34829304332_8b7d8872db_n.jpg			pink
Folder1	IMG_20170527_150902	Enter description here	36.5639361111111	-105.432905555556	https://c1.staticflickr.com/5/4273/34860834131_37a64cabe0_n.jpg	https://www.flickr.com/photos/30474783@N06/34860834131/in/album-72157681380135454	2017:05:27 15:09:03	https://c1.staticflickr.com/5/4273/34860834131_37a64cabe0_n.jpg			pink
Folder1	IMG_20170527_151223	Enter description here	36.5635777777778	-105.433319444444	https://c1.staticflickr.com/5/4275/34605217690_2cf69c29dc_n.jpg	https://www.flickr.com/photos/30474783@N06/34605217690/in/album-72157681380135454	2017:05:27 15:12:24	https://c1.staticflickr.com/5/4275/34605217690_2cf69c29dc_n.jpg			pink
Folder1	IMG_20170527_151325	Enter description here	36.5635027777778	-105.433383333333	https://c1.staticflickr.com/5/4196/34182440963_402576b11a_n.jpg	https://www.flickr.com/photos/30474783@N06/34182440963/in/album-72157681380135454	2017:05:27 15:13:26	https://c1.staticflickr.com/5/4196/34182440963_402576b11a_n.jpg			pink
Folder1	IMG_20170527_153146	Enter description here	36.5598888888889	-105.431730555556	https://c1.staticflickr.com/5/4251/34992817055_04dfff36b9_n.jpg	https://www.flickr.com/photos/30474783@N06/34992817055/in/album-72157681380135454	2017:05:27 15:31:47	https://c1.staticflickr.com/5/4251/34992817055_04dfff36b9_n.jpg			pink
Folder1	IMG_20170527_153752	Enter description here	36.5584888888889	-105.430691666667	https://c1.staticflickr.com/5/4204/34992832885_8647c150b1_n.jpg	https://www.flickr.com/photos/30474783@N06/34992832885/in/album-72157681380135454	2017:05:27 15:37:53	https://c1.staticflickr.com/5/4204/34992832885_8647c150b1_n.jpg			pink
Folder1	IMG_20170527_154102	Enter description here	36.5579472222222	-105.430705555556	https://c1.staticflickr.com/5/4224/34992844795_4bd15fc718_n.jpg	https://www.flickr.com/photos/30474783@N06/34992844795/in/album-72157681380135454	2017:05:27 15:41:04	https://c1.staticflickr.com/5/4224/34992844795_4bd15fc718_n.jpg			pink
Folder1	IMG_20170527_154413	Enter description here	36.5579111111111	-105.430755555556	https://c1.staticflickr.com/5/4228/34182460153_4b65703189_n.jpg	https://www.flickr.com/photos/30474783@N06/34182460153/in/album-72157681380135454	2017:05:27 15:44:13	https://c1.staticflickr.com/5/4228/34182460153_4b65703189_n.jpg			pink
Folder1	IMG_20170527_154420	Enter description here	36.5578638888889	-105.430988888889	https://c1.staticflickr.com/5/4196/34150091044_fe22a2030b_n.jpg	https://www.flickr.com/photos/30474783@N06/34150091044/in/album-72157681380135454	2017:05:27 15:44:20	https://c1.staticflickr.com/5/4196/34150091044_fe22a2030b_n.jpg			pink
